log_type,log_priority,log_function,log_date,log_date_gmt,log_host,log_username,log_user,log_url,log_referrer,log_data
lockout,10,Host or User Lockout,2016-01-27 18:45:58,2016-01-27 17:45:58,37.59.22.77,,,,,expires=2016-01-27 19:00:58expires_gmt=2016-01-27 18:00:58type=brute_force
brute_force,5,Invalid Login Attempt,2016-01-27 20:07:29,2016-01-27 19:07:29,79.96.116.215,author,,,,
brute_force,5,Invalid Login Attempt,2016-01-27 20:07:29,2016-01-27 19:07:29,79.96.116.215,author,,,,
brute_force,5,Invalid Login Attempt,2016-01-27 20:07:29,2016-01-27 19:07:29,79.96.116.215,author,,,,
brute_force,5,Invalid Login Attempt,2016-01-27 20:07:29,2016-01-27 19:07:29,79.96.116.215,author,,,,
brute_force,5,Invalid Login Attempt,2016-01-27 20:07:29,2016-01-27 19:07:29,79.96.116.215,author,,,,
lockout,10,Host or User Lockout,2016-01-27 20:07:29,2016-01-27 19:07:29,79.96.116.215,,,,,expires=2016-01-27 20:22:29expires_gmt=2016-01-27 19:22:29type=brute_force
four_oh_four,3,404 Error,2016-01-27 20:53:32,2016-01-27 19:53:32,23.247.207.162,,,/not_found,http://www.histoireducommerce.com,query_string=
four_oh_four,3,404 Error,2016-01-27 20:53:33,2016-01-27 19:53:33,23.247.207.162,,,/not_found,http://www.histoireducommerce.com/not_found,query_string=action=register
four_oh_four,3,404 Error,2016-01-27 20:53:35,2016-01-27 19:53:35,23.247.207.162,,,/not_found,http://www.histoireducommerce.com/not_found?action=register,query_string=action=register
backup,3,Database Backup Executed,2016-01-27 21:39:46,2016-01-27 20:39:46,,,,,,0=status=Successdetails=emailed to backup recipients and saved locally
brute_force,5,Invalid Login Attempt,2016-01-27 22:00:38,2016-01-27 21:00:38,62.210.178.174,cb,3,,,
lockout,10,Host or User Lockout,2016-01-27 22:00:38,2016-01-27 21:00:38,,,3,,,expires=2016-01-27 22:15:38expires_gmt=2016-01-27 21:15:38type=brute_force
four_oh_four,3,404 Error,2016-01-27 23:57:57,2016-01-27 22:57:57,159.203.75.59,,,/g;m.parentnode.insertbefore,http://www.histoireducommerce.com/,query_string=
four_oh_four,3,404 Error,2016-01-28 00:57:12,2016-01-27 23:57:12,222.253.186.187,,,/,,query_string=author=1
four_oh_four,3,404 Error,2016-01-28 00:57:16,2016-01-27 23:57:16,222.253.186.187,,,/administrator/,,query_string=
four_oh_four,3,404 Error,2016-01-28 03:41:22,2016-01-28 02:41:22,108.61.242.65,,,/author/cs,http://www.histoireducommerce.com/le-monde-du-commerce-aout2015-3405,query_string=
four_oh_four,3,404 Error,2016-01-28 04:36:19,2016-01-28 03:36:19,146.185.234.48,,,/tag/,,query_string=
four_oh_four,3,404 Error,2016-01-28 06:30:13,2016-01-28 05:30:13,195.154.189.197,,,/wp-content/plugins/revslider/temp/update_extract/6418796.php,http://www.googlebot.com/bot.html,query_string=
four_oh_four,3,404 Error,2016-01-28 06:44:49,2016-01-28 05:44:49,195.154.189.197,,,/wp-content/uploads/49624257.php,http://www.googlebot.com/bot.html,query_string=
